Parameter Set,n,h,log2_G_MD_FT,NIST_AES_reference_log2
Kyber-256-k1,256,40,145.38134838437483,
Kyber-256-k1,256,64,121.38134838437483,
Kyber-256-k1,256,96,108.688865625759,
ML-KEM-512,512,40,308.36143083582635,130.0
ML-KEM-512,512,64,284.36143083582635,106.0
ML-KEM-512,512,96,252.36143083582635,74.0
ML-KEM-768,768,40,456.24205491492614,193.0
ML-KEM-768,768,64,432.24205491492614,169.0
ML-KEM-768,768,96,400.24205491492614,137.0
ML-KEM-1024,1024,40,632.944902390318,258.0
ML-KEM-1024,1024,64,608.944902390318,234.0
ML-KEM-1024,1024,96,576.944902390318,202.0
